x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.403125,0.26087,0.159375,0.277174,0.957825,0.0381133,0.00111865,0.00176147,1.11984e-5,5.7914e-5,4.61739e-6,0.00110768
0.403125,0.255435,0.159375,0.277174,0.975433,0.0151883,0.00228994,0.00526563,4.92268e-5,2.14294e-4,1.48386e-5,0.0015448
0.40625,0.255435,0.159375,0.277174,0.96941,0.0229395,9.68029e-4,0.00452433,5.48496e-5,2.31411e-4,9.41052e-6,0.00186224
0.40625,0.255435,0.159375,0.277174,0.968718,0.0212686,0.00157043,0.00628617,5.82981e-5,3.4156e-4,1.28361e-5,0.00174453
0.40625,0.255435,0.159375,0.277174,0.967911,0.0223562,0.00173216,0.00586974,5.19249e-5,3.1566e-4,1.23397e-5,0.00175059
0.40625,0.255435,0.159375,0.277174,0.947305,0.04258,0.00357344,0.00418559,5.37334e-5,3.27896e-4,1.59388e-5,0.00195835
0.409375,0.255435,0.159375,0.277174,0.929235,0.0595443,0.00446368,0.00351177,6.58807e-5,4.85664e-4,9.64064e-6,0.00268383
0.409375,0.255435,0.159375,0.277174,0.9339,0.0541313,0.00486601,0.00429043,6.14208e-5,4.4587e-4,1.1683e-5,0.00229317
0.409375,0.255435,0.159375,0.277174,0.933464,0.0516717,0.00427165,0.00764867,7.54808e-5,5.15307e-4,3.45709e-5,0.00231841
0.409375,0.255435,0.159375,0.277174,0.959264,0.0297841,0.00336342,0.00578023,6.2912e-5,3.43315e-4,2.47071e-5,0.0013775
0.409375,0.255435,0.159375,0.277174,0.932906,0.0579981,0.00258327,0.00409432,5.06622e-5,3.49673e-4,1.43459e-5,0.0020037
0.4125,0.255435,0.159375,0.277174,0.961722,0.0218112,0.00198796,0.0133389,2.04422e-5,1.55265e-4,2.05967e-5,9.43148e-4
0.4125,0.255435,0.159375,0.277174,0.948493,0.0418114,0.00155226,0.00670416,1.50571e-5,1.3201e-4,9.45403e-6,0.00128271
0.4125,0.255435,0.159375,0.277174,0.951088,0.0425735,0.0011252,0.00405618,6.95186e-6,8.52333e-5,4.53037e-6,0.0010605
0.4125,0.255435,0.159375,0.277174,0.972839,0.0220833,9.60459e-4,0.0032924,4.50666e-6,6.05754e-5,2.27381e-6,7.57971e-4
0.4125,0.255435,0.159375,0.277174,0.951541,0.0424784,0.00101411,0.0037502,6.42038e-6,1.05902e-4,2.66435e-6,0.00110158
0.4125,0.255435,0.159375,0.277174,0.950475,0.0393659,0.00107985,0.00750576,1.21419e-5,1.98295e-4,5.4445e-6,0.00135723
0.4125,0.255435,0.159375,0.277174,0.96368,0.0290258,0.00128039,0.00488189,1.01816e-5,1.79515e-4,3.52624e-6,9.38733e-4
0.4125,0.255435,0.159375,0.277174,0.966495,0.0229925,0.00143158,0.00807721,1.39807e-5,2.06358e-4,8.2576e-6,7.74891e-4
0.4125,0.255435,0.159375,0.277174,0.975132,0.0161065,0.00115515,0.0068866,1.61663e-5,1.50474e-4,7.53753e-6,5.45208e-4
0.4125,0.26087,0.159375,0.277174,0.971734,0.0149313,0.00185343,0.00967189,2.86656e-5,4.46112e-4,1.05236e-5,0.00132444
0.4125,0.26087,0.159375,0.277174,0.957084,0.0331532,0.00249342,0.00518125,3.00034e-5,4.21212e-4,8.2466e-6,0.00162841
0.4125,0.26087,0.159375,0.277174,0.968964,0.023355,0.00174401,0.00460797,2.64986e-5,2.52693e-4,7.60683e-6,0.00104179
0.4125,0.26087,0.159375,0.277174,0.970267,0.013996,0.00187529,0.0122335,4.34389e-5,3.79712e-4,1.57072e-5,0.00118952
0.4125,0.266304,0.159375,0.277174,0.981618,0.0107552,0.00206666,0.00425439,1.63143e-5,1.8699e-4,3.77791e-6,0.00109913
0.4125,0.266304,0.159375,0.277174,0.979818,0.0114934,0.00266223,0.0045408,2.45113e-5,3.14296e-4,4.84232e-6,0.00114156
0.4125,0.266304,0.159375,0.277174,0.971433,0.0148377,0.00377162,0.00754292,5.55865e-5,7.29664e-4,1.31842e-5,0.00161628
0.4125,0.266304,0.159375,0.277174,0.967134,0.0196461,0.00308244,0.00748586,5.19654e-5,8.15525e-4,1.089e-5,0.00177343
0.4125,0.266304,0.159375,0.277174,0.967753,0.0178069,0.00331833,0.00861176,5.60837e-5,7.984e-4,1.20119e-5,0.00164306
0.4125,0.266304,0.159375,0.277174,0.969648,0.0127732,0.00277799,0.0123388,6.09054e-5,7.8706e-4,1.66428e-5,0.00159733
0.4125,0.266304,0.159375,0.277174,0.97453,0.00887239,0.00217748,0.0125792,4.8363e-5,6.02999e-4,2.0761e-5,0.00116886
0.4125,0.266304,0.159375,0.277174,0.975823,0.0108178,0.00141024,0.0101962,6.00142e-5,3.89843e-4,1.82824e-5,0.00128469
